age,gender,education,income,sirius,wharton,worktime
27,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,18
27,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,21
26,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,14
28,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,26
23,Male,Bachelor’s degree or other 4-year degree,"Above $150,000",Yes,No,19
25,Male,Graduate or professional degree,"$30,000 - $50,000",Yes,No,14
27,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,17
20,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,22
23,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,18
62,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,36
25,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,16
33,Male,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,14
22,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",No,No,30
24,Female,Graduate or professional degree,"$15,000 - $30,000",Yes,No,16
20,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,39
50,Male,Less than 12 years; no high school diploma,"$30,000 - $50,000",No,No,34
45,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",No,No,23
23,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,11
22,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,20
48,Male,Graduate or professional degree,"Less than $15,000",No,No,27
24,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",No,No,20
25,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,17
31,Male,High school graduate (or equivalent),"$30,000 - $50,000",Yes,No,25
21,Male,High school graduate (or equivalent),"$30,000 - $50,000",No,No,17
18,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,12
28,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,19
24,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,37
20,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,21
20,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,25
50,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,34
26,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,20
24,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,14
24,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,22
32,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,16
24,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,17
19,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,16
23,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,33
39,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,23
60,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,17
22,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,18
45,Female,Graduate or professional degree,"$75,000 - $150,000",Yes,No,30
55,Female,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,23
26,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",No,No,13
25,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,21
28,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,27
24,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,16
23,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",No,No,22
20,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,19
53,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,23
24,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",No,No,19
21,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,13
26,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,23
41,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,21
22,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,12
26,Female,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,20
50,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,23
21,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,30
26,Male,Graduate or professional degree,"$30,000 - $50,000",No,No,31
76,Female,High school graduate (or equivalent),"$15,000 - $30,000",No,No,25
27,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",No,No,21
19,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,29
43,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,14
26,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,17
26,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,15
27,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,18
25,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,14
54,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,23
19,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",No,No,14
33,Male,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,22
26,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,13
21,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",No,No,15
50,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,36
33,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,21
24,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,18
32,Female,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,24
30,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,28
19,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,16
24,Male,High school graduate (or equivalent),"Less than $15,000",No,No,42
22,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,34
29,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",No,No,14
19,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,15
20,Male,"Some college, no diploma; or Associate’s degree","Above $150,000",Yes,No,20
18,Male,High school graduate (or equivalent),"$15,000 - $30,000",No,No,19
24,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,17
27,Male,Graduate or professional degree,"$30,000 - $50,000",No,No,26
31,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,39
32,Female,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,15
22,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,19
35,Female,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,26
26,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,24
26,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,16
22,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,16
21,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",No,No,24
27,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,23
19,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,Yes,13
20,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",No,No,13
66,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,15
27,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,35
31,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,28
25,Female,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,36
27,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,14
19,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",No,No,76
32,Male,High school graduate (or equivalent),"$15,000 - $30,000",No,No,30
22,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,17
29,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,12
45,Female,Graduate or professional degree,"$75,000 - $150,000",Yes,No,24
33,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,16
27,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,37
23,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,Yes,9
21,Female,High school graduate (or equivalent),"Less than $15,000",No,No,22
18,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,29
28,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,21
31,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,15
25,Male,Graduate or professional degree,"$15,000 - $30,000",Yes,No,17
35,Male,High school graduate (or equivalent),"$30,000 - $50,000",No,No,19
34,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,25
20,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,13
54,Male,Graduate or professional degree,"$50,000 - $75,000",No,No,33
29,Male,Graduate or professional degree,"Less than $15,000",No,No,25
50,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,25
24,Male,Graduate or professional degree,"$75,000 - $150,000",No,No,43
38,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,18
26,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,19
20,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,28
20,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,17
34,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,28
19,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,23
21,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,20
28,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,16
28,Female,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,33
23,Male,High school graduate (or equivalent),"$75,000 - $150,000",No,No,24
24,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,13
33,Male,High school graduate (or equivalent),"Less than $15,000",Yes,No,40
31,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,43
31,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,27
27,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,16
32,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,19
48,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,23
28,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,19
47,Male,Graduate or professional degree,"$50,000 - $75,000",Yes,No,34
26,Male,High school graduate (or equivalent),"$75,000 - $150,000",No,No,16
18,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,20
32,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,Yes,11
19,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,27
37,Male,Less than 12 years; no high school diploma,"$30,000 - $50,000",Yes,No,34
32,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,22
23,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,32
22,Male,High school graduate (or equivalent),"$50,000 - $75,000",No,No,26
32,Male,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,32
28,Female,Graduate or professional degree,"$50,000 - $75,000",No,No,17
22,Male,Bachelor’s degree or other 4-year degree,"Above $150,000",No,No,26
25,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,13
25,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,11
25,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,17
28,Male,Graduate or professional degree,"$30,000 - $50,000",Yes,No,21
28,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,23
32,Female,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,23
25,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,16
29,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,23
30,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,16
38,Male,"Some college, no diploma; or Associate’s degree","Above $150,000",No,No,21
24,Male,High school graduate (or equivalent),"Less than $15,000",No,No,19
26,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,11
21,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,15
23,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,21
50,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,15
26,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,32
26,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,23
29,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,19
23,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,16
21,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,24
21,Male,High school graduate (or equivalent),"$30,000 - $50,000",No,No,16
26,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",No,No,14
59,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,17
20,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,19
61,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,44
24,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,20
32,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,29
19,Male,High school graduate (or equivalent),"Less than $15,000",Yes,No,21
29,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,23
30,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,18
31,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",No,No,20
29,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,12
25,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,14
22,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,20
38,Female,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,21
22,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",No,No,108
25,Female,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,25
24,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,23
21,Female,Bachelor’s degree or other 4-year degree,"Less than $15,000",No,No,24
31,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,21
22,Male,High school graduate (or equivalent),"$30,000 - $50,000",Yes,No,22
22,Male,High school graduate (or equivalent),"$15,000 - $30,000",No,No,18
25,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,22
48,Female,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,17
51,Female,High school graduate (or equivalent),"$30,000 - $50,000",No,No,38
29,Female,Graduate or professional degree,"$30,000 - $50,000",No,No,13
57,Female,High school graduate (or equivalent),"$30,000 - $50,000",No,No,34
24,Female,Bachelor’s degree or other 4-year degree,"Above $150,000",No,No,13
41,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,18
19,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,15
28,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,16
18,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,14
19,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,14
34,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,20
23,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,18
39,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,21
24,Female,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",No,No,28
25,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,16
24,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,10
23,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,18
26,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,16
21,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,18
23,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,19
31,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,19
41,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,28
34,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,17
31,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,16
29,Male,Graduate or professional degree,"$50,000 - $75,000",Yes,No,31
22,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,14
27,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,18
34,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,20
28,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,17
28,Female,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,19
38,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,21
21,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,18
20,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,16
30,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,22
23,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,29
27,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,16
25,Male,Bachelor’s degree or other 4-year degree,"Less than $15,000",No,No,22
46,Female,High school graduate (or equivalent),"Less than $15,000",No,No,20
43,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",No,No,39
34,Female,Graduate or professional degree,"$50,000 - $75,000",Yes,Yes,21
22,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,36
27,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,24
31,Male,Graduate or professional degree,"$30,000 - $50,000",Yes,No,22
39,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,25
22,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,11
35,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,31
59,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,26
48,Female,High school graduate (or equivalent),"Less than $15,000",Yes,No,18
26,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,22
34,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,15
44,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,28
21,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,13
22,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,18
27,Female,Less than 12 years; no high school diploma,"$75,000 - $150,000",Yes,No,21
23,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,22
18,Female,High school graduate (or equivalent),"$15,000 - $30,000",No,No,10
26,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,14
21,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,26
45,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,32
20,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,42
29,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,24
25,Male,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,12
28,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,28
34,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,32
31,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,16
20,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,25
29,Female,Graduate or professional degree,"$50,000 - $75,000",Yes,No,58
23,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,27
24,Male,Graduate or professional degree,"$15,000 - $30,000",No,No,13
23,Male,Bachelor’s degree or other 4-year degree,"Above $150,000",Yes,No,18
20,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,14
24,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,28
32,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,20
28,Female,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,16
20,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",No,No,17
28,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,17
26,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,24
27,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",No,No,16
44,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,20
29,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,22
29,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",No,No,10
25,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,16
34,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,18
27,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,14
43,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,28
20,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,43
29,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,Yes,17
37,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,32
19,Male,High school graduate (or equivalent),"$75,000 - $150,000",Yes,No,14
24,Female,High school graduate (or equivalent),"$30,000 - $50,000",Yes,No,28
33,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,18
18,Male,High school graduate (or equivalent),"$50,000 - $75,000",Yes,No,14
31,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,11
45,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,36
62,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,59
50,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",No,No,53
26,Male,Graduate or professional degree,"$30,000 - $50,000",Yes,No,13
32,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,25
28,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",No,No,23
23,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,24
43,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,22
29,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,30
54,Female,High school graduate (or equivalent),"$30,000 - $50,000",Yes,No,27
30,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,16
25,Female,Graduate or professional degree,"$30,000 - $50,000",No,No,18
29,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,26
26,Female,Bachelor’s degree or other 4-year degree,"Less than $15,000",No,No,20
49,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,25
28,Female,Graduate or professional degree,"$50,000 - $75,000",Yes,No,17
24,Female,Graduate or professional degree,"$15,000 - $30,000",Yes,No,21
30,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,17
50,Male,Graduate or professional degree,"$30,000 - $50,000",Yes,No,25
54,Female,Graduate or professional degree,"$75,000 - $150,000",Yes,No,31
34,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,13
37,Male,Graduate or professional degree,"$50,000 - $75,000",Yes,No,22
25,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,19
26,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,19
25,Female,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",No,No,25
31,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,14
31,Male,High school graduate (or equivalent),"$30,000 - $50,000",No,No,21
28,Female,Graduate or professional degree,"$75,000 - $150,000",Yes,No,23
51,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,27
19,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,29
26,Male,Graduate or professional degree,"$50,000 - $75,000",Yes,Yes,11
24,Male,High school graduate (or equivalent),"$50,000 - $75,000",No,No,14
28,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,20
28,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,26
21,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,15
23,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,18
42,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,48
22,Male,Graduate or professional degree,"$50,000 - $75,000",Yes,Yes,12
25,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,16
47,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,29
23,Male,Graduate or professional degree,"$15,000 - $30,000",Yes,No,24
25,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,21
27,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,17
23,Male,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,9
26,Female,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,27
29,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,28
28,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,20
25,Female,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,34
21,Male,High school graduate (or equivalent),"$30,000 - $50,000",Yes,No,16
40,Male,High school graduate (or equivalent),"$50,000 - $75,000",Yes,No,38
26,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,20
28,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,34
28,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,10
48,Female,Graduate or professional degree,"$50,000 - $75,000",Yes,No,19
24,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,29
23,Male,High school graduate (or equivalent),"$30,000 - $50,000",No,No,22
36,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",No,No,34
25,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,Yes,32
30,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,25
